race_name,ppt_gender,distance_miles,date,med_time
Bee-utiful Sunflower Run,F,6.21,2022-05-15,1.1412499999999999
Bee-utiful Sunflower Run,F,6.21,2023-05-14,1.1847222222222222
Bee-utiful Sunflower Run,F,8.14,2022-05-15,2.528611111111111
Bee-utiful Sunflower Run,M,3.11,2022-05-15,0.7133333333333333
Bee-utiful Sunflower Run,M,3.11,2023-05-14,0.6783333333333333
Bee-utiful Sunflower Run,M,6.21,2022-05-15,1.138611111111111
Bee-utiful Sunflower Run,M,6.21,2023-05-14,0.9791666666666666
Bee-utiful Sunflower Run,M,8.14,2022-05-15,2.516111111111111
Bethel Hill Moonlight Boogie,F,26.2,2019-03-30,6.151944444444444
Bethel Hill Moonlight Boogie,F,26.2,2020-08-08,6.012777777777777
Bethel Hill Moonlight Boogie,F,26.2,2021-06-12,6.695277777777776
Bethel Hill Moonlight Boogie,F,26.2,2022-06-11,6.4141666666666675
Bethel Hill Moonlight Boogie,F,26.2,2023-06-10,5.831666666666666
Bethel Hill Moonlight Boogie,F,50.0,2019-03-30,11.874305555555555
Bethel Hill Moonlight Boogie,F,50.0,2020-08-08,13.180555555555555
Bethel Hill Moonlight Boogie,F,50.0,2021-06-12,11.43625
Bethel Hill Moonlight Boogie,F,50.0,2022-06-11,11.323333333333332
Bethel Hill Moonlight Boogie,F,50.0,2023-06-10,11.475833333333332
Bethel Hill Moonlight Boogie,M,26.2,2019-03-30,5.028888888888888
Bethel Hill Moonlight Boogie,M,26.2,2020-08-08,5.84638888888889
Bethel Hill Moonlight Boogie,M,26.2,2021-06-12,5.730833333333334
Bethel Hill Moonlight Boogie,M,26.2,2022-06-11,5.542777777777777
Bethel Hill Moonlight Boogie,M,26.2,2023-06-10,5.513472222222222
Bethel Hill Moonlight Boogie,M,50.0,2019-03-30,11.826111111111112
Bethel Hill Moonlight Boogie,M,50.0,2020-08-08,11.52763888888889
Bethel Hill Moonlight Boogie,M,50.0,2021-06-12,11.129999999999999
Bethel Hill Moonlight Boogie,M,50.0,2022-06-11,11.764722222222222
Bethel Hill Moonlight Boogie,M,50.0,2023-06-10,11.851666666666667
Big Butt,F,31.07,2019-07-04,7.8625
Big Butt,F,31.07,2021-07-04,7.298611111111112
