race_name,ppt_gender,distance_miles,date,min_time
Bishop High Sierra Ultras,M,3.73,2022-05-21,36.266666666666666
Bishop High Sierra Ultras,M,3.73,2023-05-20,28.966666666666665
Bishop High Sierra Ultras,M,20.0,2019-06-01,170.21666666666667
Bishop High Sierra Ultras,M,20.0,2021-05-22,151.18333333333334
Bishop High Sierra Ultras,M,20.0,2022-05-21,164.61666666666667
Bishop High Sierra Ultras,M,20.0,2023-05-20,143.58333333333334
Bishop High Sierra Ultras,M,31.07,2019-06-01,284.76666666666665
Bishop High Sierra Ultras,M,34.18,2021-05-22,232.73333333333332
Bishop High Sierra Ultras,M,34.18,2022-05-21,254.56666666666666
Bishop High Sierra Ultras,M,34.18,2023-05-20,320.3333333333333
Bishop High Sierra Ultras,M,50.0,2019-06-01,544.75
Bishop High Sierra Ultras,M,50.0,2021-05-22,481.0833333333333
Bishop High Sierra Ultras,M,50.0,2022-05-21,473.78333333333336
Bishop High Sierra Ultras,M,50.0,2023-05-20,570.3333333333334
Bishop High Sierra Ultras,M,62.14,2019-06-01,653.4166666666666
Bishop High Sierra Ultras,M,62.14,2021-05-22,596.3666666666667
Bishop High Sierra Ultras,M,62.14,2022-05-21,726.9666666666667
Bishop High Sierra Ultras,M,62.14,2023-05-20,709.4666666666667
Black Hills 100,F,18.64,2019-06-28,198.05678333333333
Black Hills 100,F,18.64,2021-06-25,171.35
Black Hills 100,F,18.64,2022-06-24,175.86666666666667
Black Hills 100,F,18.64,2023-06-23,189.31666666666666
Black Hills 100,F,31.07,2019-06-28,376.7443
Black Hills 100,F,31.07,2021-06-25,331.93333333333334
Black Hills 100,F,31.07,2022-06-24,311.4166666666667
Black Hills 100,F,31.07,2023-06-23,358.5833333333333
Black Hills 100,F,50.0,2019-06-28,674.5763333333333
Black Hills 100,F,50.0,2021-06-25,566.2333333333333
Black Hills 100,F,50.0,2022-06-24,548.0
Black Hills 100,F,50.0,2023-06-23,584.4833333333333
Black Hills 100,F,100.0,2019-06-28,1621.06705
Black Hills 100,F,100.0,2021-06-25,1646.2333333333333
Black Hills 100,F,100.0,2022-06-24,1349.6166666666666
Black Hills 100,F,100.0,2023-06-23,1622.0833333333333
Black Hills 100,M,18.64,2019-06-28,170.6349
Black Hills 100,M,18.64,2021-06-25,141.73333333333332
Black Hills 100,M,18.64,2022-06-24,153.56666666666666
Black Hills 100,M,18.64,2023-06-23,147.5
Black Hills 100,M,31.07,2019-06-28,276.42946666666666
Black Hills 100,M,31.07,2021-06-25,278.5833333333333
Black Hills 100,M,31.07,2022-06-24,249.01666666666668
Black Hills 100,M,31.07,2023-06-23,267.15
Black Hills 100,M,50.0,2019-06-28,470.68308333333334
Black Hills 100,M,50.0,2021-06-25,517.6333333333333
Black Hills 100,M,50.0,2022-06-24,469.18333333333334
Black Hills 100,M,50.0,2023-06-23,529.7333333333333
Black Hills 100,M,100.0,2019-06-28,1307.97745
Black Hills 100,M,100.0,2021-06-25,1278.4166666666667
Black Hills 100,M,100.0,2022-06-24,1077.95
Black Hills 100,M,100.0,2023-06-23,1194.15
Black Mountain Trail Races,F,13.1,2021-06-19,149.26666666666668
Black Mountain Trail Races,F,13.1,2022-06-18,142.46666666666667
Black Mountain Trail Races,F,13.1,2023-06-17,126.51666666666667
Black Mountain Trail Races,F,15.53,2019-06-29,177.38333333333333
Black Mountain Trail Races,F,15.53,2021-06-19,149.61666666666667
Black Mountain Trail Races,F,15.53,2022-06-18,166.26666666666668
Black Mountain Trail Races,F,15.53,2023-06-17,174.2
Black Mountain Trail Races,F,31.07,2019-06-29,335.25
Black Mountain Trail Races,F,31.07,2021-06-19,287.51666666666665
Black Mountain Trail Races,F,31.07,2022-06-18,316.53333333333336
Black Mountain Trail Races,F,31.07,2023-06-17,305.6166666666667
Black Mountain Trail Races,M,13.1,2021-06-19,109.51666666666667
Black Mountain Trail Races,M,13.1,2022-06-18,118.78333333333333
Black Mountain Trail Races,M,13.1,2023-06-17,104.2
Black Mountain Trail Races,M,15.53,2019-06-29,131.43333333333334
Black Mountain Trail Races,M,15.53,2021-06-19,130.81666666666666
Black Mountain Trail Races,M,15.53,2022-06-18,143.78333333333333
